name,url,salary,id_vacancy,employer,employer_url,requirement,responsibility
Учитель начальных классов,https://hh.ru/vacancy/79015928,Не указан,79015928,нет данных,нет данных,"Иметь высшее образование по любой специальности (или среднее, но специальное педагогическое) к 1 сентября 2023 года. Диплом МГИМО о педагогической...",Пройти отбор в программу.
Учитель русского языка и литературы,https://hh.ru/vacancy/78870513,Не указан,78870513,нет данных,нет данных,"Диагностика МЦКО не ниже высокого уровня. Опыт работы в гос. школе, опыт подготовки к ВсОШ и МОШ будет преимуществом. ","Осуществляет обучение и воспитание обучающихся с учетом специфики преподаваемого предмета, проводит уроки и другие занятия в соответствии с расписанием в..."
Методист образовательных программ в онлайн-школу (удаленно),https://hh.ru/vacancy/78999712,50000,78999712,нет данных,нет данных,,"Разработка учебных материалов для занятий онлайн (учебный план, лекционные материалы и домашние задания) вместе с <highlighttext>преподавателями</highlighttext> и продюсерами. — "
Учитель начальных классов,https://hh.ru/vacancy/77579659,40000,77579659,нет данных,нет данных,Знание обновленного ФГОС. Желание работать в предметном обучении. Опыт работы в начальной школе. 1 или высшая категория. Владение ИКТ (доска...,Преподавание в 1-4 классах выбранного предмета - школа реализует предметное обучение. Классное руководство. Внеурочная деятельность по программам согласно Плану ВД.
Учитель начальных классов,https://hh.ru/vacancy/78121090,68000,78121090,нет данных,нет данных,Высшее образование по специальности. Опыт работы с детьми младшего школьного возраста.,Организация учебно-воспитательного процесса в рамках школьной программы. Внеклассная деятельность с детьми.
Учитель технологии (для мальчиков),https://hh.ru/vacancy/77985403,35000,77985403,нет данных,нет данных,"Формирование у обучающихся умения применения в практике устной и письменной речи норм современного литературного русского языка. Дисциплинированность, ответственность, коммуникабельность. ","Обучение методам понимания сообщения: анализ, структуризация, реорганизация, трансформация, сопоставление с другими сообщениями, выявление необходимой для анализирующего информации. Осуществление совместно с..."
Педагог дополнительного образования (начальные классы),https://hh.ru/vacancy/79169903,25000,79169903,нет данных,нет данных,Желание получать новые знания и передавать их детям.,"Проведение занятий с детьми в малых группах (4-8 чел.). -Возможность освоить новые методики преподавания. - Работу на общее дело, получение..."
Педагог-психолог,https://hh.ru/vacancy/79014607,50000,79014607,нет данных,нет данных,"На вакансию рассматриваются <highlighttext>учителя</highlighttext> начальных классов, русского языка и литературы, математики, <highlighttext>педагоги</highlighttext>-психологи и другие. ... И не забудьте прихватить творческий...",порядка 560 филиалов в России и СНГ. Проведение вводных ознакомительных занятий. Ведение документации по своим ученикам.
Учитель истории и обществознания (10-11 классы),https://hh.ru/vacancy/79007861,45000,79007861,нет данных,нет данных,Педагогический стаж работы с учениками 10-11 классов от 5 лет. Высшее профессиональное образование. Опыт подготовки к ОГЭ и ЕГЭ. ,Минимальное ведение документации. Проведение лекционных занятий по утвержденному тематическому планированию для 10-11 классов. Проведение курсов подготовки к ЕГЭ (6...
Специалист в сад,https://hh.ru/vacancy/78164612,,78164612,нет данных,нет данных,Опыт работы <highlighttext>педагогом</highlighttext> в детских дошкольных учреждениях.,"Проведение занятий с детьми от 1,5 месяцев до 7 лет по методикам Бэби-клуба. Консультирование родителей по вопросам раннего..."
Ассистент учителя (Academic Support),https://hh.ru/vacancy/66178689,6000000,66178689,нет данных,нет данных,10 лет опыта в сфере образования. Первая школа с Oxford University Press. Первая школа с Student App и Staff App. ,Консультант по вопросам английского языка. Контролировать прогресс английского языка обучающихся. Подготовка к внутренним экзаменам учебного центра. Помогать студентам развивать английский...
Учитель Математики в школу (метро Московские ворота),https://hh.ru/vacancy/78819612,58000,78819612,нет данных,нет данных,"Умение грамотно выстраивать отношения с родителями. Высокий уровень культуры, грамотная речь. Желание работать <highlighttext>учителем</highlighttext>. Способность к обучению. Ответственность, исполнительность, пунктуальность...",Работа по программам среднего общего образования. Подготовка к ОГЭ и ЕГЭ. Подготовка детей к олимпиадам. Разработка рабочей программы по предмету. 
Учитель ИЗО,https://hh.ru/vacancy/79234054,35000,79234054,нет данных,нет данных,"Требования: высшее педагогическое образование, опыт работы.",Обязанности: ведение уроков и внеурочной деятельности.
Учитель истории и обществоведения,https://hh.ru/vacancy/79135350,1000,79135350,нет данных,нет данных,Желание развивать личность детей. Крепкая гражданская позиция.,"Участвует в деятельности педагогического и иных советов образовательного учреждения, а также в деятельности методических объединений и других формах методи-ческой..."
Учитель-логопед,https://hh.ru/vacancy/79171223,25000,79171223,нет данных,нет данных,"Высшее логопедическое образование, бакалавриат (магистратура, специалитет) или профессиональная переподготовка, возможно трудоустройство также студентов старших курсов педагогических ВУЗов.",Проведение уроков (занятий) с обучающимися в соответствии с ФГОС НОО ОВЗ. Проведение индивидуальных коррекционных занятий.
Учитель английского языка (ассистент носителя),https://hh.ru/vacancy/79222019,70000,79222019,нет данных,нет данных,"Будет преимуществом: Аналогичный опыт работы в билингвальном детском саду и желание постоянно улучшать качество дошкольного образования, применяя лучшие современные практики. ",
Ведущий детских занятий / экскурсовод / педагог,https://hh.ru/vacancy/78761081,40000,78761081,нет данных,нет данных,"Интерес к науке, к теме просвещения, эрудиция, хорошая речь. Готовность выполнять задания и функции, не относящиеся напрямую к вакансии (пример...","Проведение экскурсий. Проведение мастер-классов для детей и взрослых. Помощь другим ведущим на занятиях. Подготовка помещения к занятиям, уборка после..."
Преподаватель,https://hh.ru/vacancy/79032350,500,79032350,нет данных,нет данных,Желание работать.,"Работа в детском центре,ментальная арифметика ,математика,подготовка к школе."
Педагог школы скорочтения,https://hh.ru/vacancy/77187094,60000,77187094,нет данных,нет данных,Высшее педагогическое образование (<highlighttext>учитель</highlighttext> начальных классов). Опыт работы <highlighttext>учителем</highlighttext> начальных классов. Непрерывный педагогический стаж от трех лет. Опыт работы в...,"Проведение занятий по расписанию для детей и подростков, по готовым методическим материалам, авторским и уникальным программам школы. Проведение пробных и..."
Учитель начальных классов,https://hh.ru/vacancy/79236976,25000,79236976,нет данных,нет данных,"Желание получать новые знания и передавать их детям. Работать на общее дело, получение положительного результата в виде успехов учеников. ",Проведение занятий с детьми в малых группах (4-8 чел) Сделать занятия интересными и познавательными для ваших маленьких учеников. 
Учитель технологии для мальчиков,https://hh.ru/vacancy/79193403,,79193403,нет данных,нет данных,"Педагогическое образование, опыт работы в школе.","Ведение уроков, внеурочной деятельности. Школьная документация. Участие в конкурсах и олимпиадах. Требуется <highlighttext>учитель</highlighttext> по-совместительству. на 10 часов."
Педагог (наставник) по математике,https://hh.ru/vacancy/79113746,70000,79113746,нет данных,нет данных,Высокая организованность и пунктуальность. Желание работать с детьми и обучать их. Желание развиваться в It-сфере. Стрессоустойчивость. Работа на результат. ,Обучение школьников олимпиадной математике. Обучение школьников школьной программе. Сбор обратной связи по обучению . Общение и обратная связь с родителями. 
Учитель математики (Новая Москва),https://hh.ru/vacancy/79070392,125000,79070392,нет данных,нет данных,Опыт работы не менее 5 лет (в последние 10 лет) в общеобразовательной или частной школе. Творческий подход к уроку. ,Работа по расписанию в соответствии с учебным планом. Учетно-отчетная работа по преподавательской деятельности. Поддержание научной деятельности школы.
Учитель начальных классов,https://hh.ru/vacancy/79016858,35000,79016858,нет данных,нет данных,Ответственность.,Преподавание дисциплин в классах начальной школы.
Учитель начальных классов,https://hh.ru/vacancy/79014680,50000,79014680,нет данных,нет данных,"На вакансию рассматриваются <highlighttext>учителя</highlighttext> начальных классов, русского языка и литературы, математики, <highlighttext>педагоги</highlighttext>-психологи и другие. ... И не забудьте прихватить творческий...",порядка 560 филиалов в России и СНГ. Проведение вводных ознакомительных занятий. Ведение документации по своим ученикам.
Учитель русского языка и литературы,https://hh.ru/vacancy/79144388,46000,79144388,нет данных,нет данных,"Высшее педагогическое образования по профилю преподаваемого предмета, филология. ИКТ-компетентность. Курсы по ФГОС.",Разработка и реализация рабочих программ по русскому языку и литературе в рамках основной общеобразовательной программы (основное общее образование). 
